latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
26.57623,101.66944,331.53,0.45,0.47,2025-09-09,0557,N,nominal,2.0NRT,292.16,3.2,D
26.57524,101.66456,327.82,0.45,0.47,2025-09-09,0557,N,nominal,2.0NRT,292.51,3.2,D
28.22391,97.01746,353.24,0.39,0.59,2025-09-09,0557,N,nominal,2.0NRT,292.8,10.48,D
6.26625,81.35245,345.52,0.48,0.48,2025-09-09,0731,N,nominal,2.0NRT,296.42,8.72,D
6.87277,81.45745,341.3,0.46,0.47,2025-09-09,0733,N,nominal,2.0NRT,295.06,5.19,D
6.92501,81.63976,330.36,0.45,0.47,2025-09-09,0733,N,nominal,2.0NRT,294.43,2.7,D
7.1762,81.70306,336.89,0.44,0.46,2025-09-09,0733,N,nominal,2.0NRT,292.31,5.74,D
7.25439,81.63236,331.24,0.45,0.47,2025-09-09,0733,N,nominal,2.0NRT,292.81,2.08,D
7.34612,81.81322,331.58,0.43,0.46,2025-09-09,0733,N,nominal,2.0NRT,297.96,2.26,D
7.38118,81.81541,331.43,0.43,0.46,2025-09-09,0733,N,nominal,2.0NRT,297.14,4.01,D
7.69088,81.57845,339.56,0.44,0.46,2025-09-09,0733,N,nominal,2.0NRT,285.65,2.22,D
7.71743,81.102,346.23,0.48,0.48,2025-09-09,0733,N,nominal,2.0NRT,291.65,5.49,D
7.71952,81.06146,347.32,0.48,0.48,2025-09-09,0733,N,nominal,2.0NRT,294.32,8.11,D
7.75336,81.04678,347.49,0.48,0.48,2025-09-09,0733,N,nominal,2.0NRT,287.67,11.9,D
7.6879,80.41071,333.26,0.53,0.5,2025-09-09,0733,N,nominal,2.0NRT,292.74,2.63,D
7.86503,81.44685,334.45,0.45,0.47,2025-09-09,0733,N,nominal,2.0NRT,284.73,2.89,D
7.69108,80.41177,332.82,0.53,0.5,2025-09-09,0733,N,nominal,2.0NRT,290.81,4.97,D
7.91727,81.37964,341.25,0.45,0.47,2025-09-09,0733,N,nominal,2.0NRT,288.17,4.64,D
8.03079,81.08999,339.82,0.47,0.48,2025-09-09,0733,N,nominal,2.0NRT,285.42,3.49,D
8.03036,81.09039,342.14,0.47,0.48,2025-09-09,0733,N,nominal,2.0NRT,285.67,4.83,D
7.88233,79.93852,339.92,0.56,0.52,2025-09-09,0733,N,nominal,2.0NRT,285.82,9.16,D
8.09459,81.09703,340.31,0.47,0.48,2025-09-09,0733,N,nominal,2.0NRT,285.67,3.86,D
