latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
14.8963,100.15027,331.76,0.58,0.52,2025-09-03,0605,N,nominal,2.0NRT,289.89,4.89,D
20.29045,100.17138,332.63,0.46,0.47,2025-09-03,0608,N,nominal,2.0NRT,291.66,1.63,D
22.45082,100.65498,325.63,0.4,0.44,2025-09-03,0608,N,low,2.0NRT,296.65,3.77,D
23.40278,100.39449,329.36,0.4,0.44,2025-09-03,0608,N,nominal,2.0NRT,296.44,4.05,D
23.42107,100.4024,339.53,0.4,0.44,2025-09-03,0608,N,nominal,2.0NRT,300.74,4.1,D
23.67814,99.11841,329.29,0.47,0.47,2025-09-03,0608,N,nominal,2.0NRT,292.16,4.57,D
23.91332,97.70162,326.26,0.56,0.52,2025-09-03,0610,N,nominal,2.0NRT,292.18,4.56,D
23.97818,97.77012,326.96,0.56,0.51,2025-09-03,0610,N,nominal,2.0NRT,296.19,6.95,D
24.99017,101.59763,326.43,0.49,0.4,2025-09-03,0610,N,low,2.0NRT,298.44,3.5,D
24.81954,99.40611,326.34,0.43,0.46,2025-09-03,0610,N,low,2.0NRT,298.12,1.86,D
26.50459,101.85369,326.5,0.45,0.39,2025-09-03,0610,N,low,2.0NRT,301.04,4.07,D
26.53025,101.70668,329.47,0.46,0.39,2025-09-03,0610,N,low,2.0NRT,299.98,2.58,D
26.52948,101.70228,330.64,0.46,0.39,2025-09-03,0610,N,nominal,2.0NRT,299.88,2.58,D
26.56551,101.67492,332.62,0.46,0.39,2025-09-03,0610,N,nominal,2.0NRT,301.47,9.04,D
26.56311,101.67683,328.98,0.46,0.39,2025-09-03,0610,N,low,2.0NRT,300.08,7.25,D
26.56671,101.67616,328.83,0.46,0.39,2025-09-03,0610,N,low,2.0NRT,299.8,5.84,D
26.57662,101.66929,326.65,0.46,0.39,2025-09-03,0610,N,nominal,2.0NRT,295.29,28.71,D
26.62024,101.45391,326.79,0.47,0.4,2025-09-03,0610,N,low,2.0NRT,299.4,3.25,D
27.37702,95.33509,327.97,0.33,0.55,2025-09-03,0610,N,nominal,2.0NRT,288.09,1.41,D
26.96715,90.04234,335.95,0.69,0.74,2025-09-03,0610,N,nominal,2.0NRT,287.27,5.93,D
6.57995,80.96204,334.23,0.49,0.4,2025-09-03,0746,N,nominal,2.0NRT,295.44,6.72,D
6.74342,81.07281,332.4,0.48,0.4,2025-09-03,0746,N,low,2.0NRT,283.83,5.94,D
7.01428,80.97137,348.82,0.48,0.4,2025-09-03,0746,N,nominal,2.0NRT,294.49,11.12,D
7.05226,81.0202,330.15,0.48,0.4,2025-09-03,0746,N,nominal,2.0NRT,296.73,2.95,D
7.1012,80.95777,339.29,0.48,0.4,2025-09-03,0746,N,nominal,2.0NRT,302.37,11.17,D
7.10046,80.95319,334.18,0.48,0.4,2025-09-03,0746,N,low,2.0NRT,296.45,11.17,D
7.10486,80.95705,333.48,0.48,0.4,2025-09-03,0746,N,nominal,2.0NRT,296.39,6.21,D
7.30473,81.10591,332.36,0.47,0.4,2025-09-03,0746,N,low,2.0NRT,305.64,7.35,D
7.40946,81.65524,333.74,0.44,0.39,2025-09-03,0746,N,low,2.0NRT,297.37,5.37,D
7.40858,81.65569,335.93,0.44,0.39,2025-09-03,0746,N,low,2.0NRT,298.82,5.31,D
7.42661,81.67741,331,0.44,0.38,2025-09-03,0746,N,low,2.0NRT,302.01,5.61,D
7.42621,81.23832,343.97,0.46,0.39,2025-09-03,0746,N,nominal,2.0NRT,304.73,9.93,D
7.42549,81.18684,336.91,0.47,0.39,2025-09-03,0746,N,low,2.0NRT,301.97,7.45,D
7.43504,81.17667,333.24,0.47,0.39,2025-09-03,0746,N,low,2.0NRT,301.42,5.94,D
7.438,81.1719,334.98,0.47,0.39,2025-09-03,0746,N,low,2.0NRT,301.6,7.33,D
7.43583,81.1774,330.34,0.47,0.39,2025-09-03,0746,N,low,2.0NRT,300.77,4.45,D
7.43877,81.17262,340.39,0.47,0.39,2025-09-03,0746,N,low,2.0NRT,301.61,4.45,D
7.47024,81.20628,340.97,0.46,0.39,2025-09-03,0746,N,nominal,2.0NRT,299.36,3.78,D
7.65932,80.99146,334.07,0.47,0.4,2025-09-03,0746,N,low,2.0NRT,291.92,3.39,D
7.76227,81.16985,333.12,0.46,0.39,2025-09-03,0746,N,nominal,2.0NRT,294.33,3.97,D
7.76292,81.17035,332.35,0.46,0.39,2025-09-03,0746,N,nominal,2.0NRT,294.14,4,D
7.75863,81.00684,332.98,0.47,0.4,2025-09-03,0746,N,nominal,2.0NRT,297.14,5.74,D
7.87692,81.46761,333.7,0.45,0.39,2025-09-03,0746,N,low,2.0NRT,301.85,5.8,D
7.7582,80.19823,336.87,0.52,0.41,2025-09-03,0746,N,nominal,2.0NRT,296.04,6.62,D
7.9501,80.45323,343.29,0.5,0.41,2025-09-03,0746,N,low,2.0NRT,301.07,8.58,D
7.88432,80.04433,331.96,0.53,0.42,2025-09-03,0746,N,nominal,2.0NRT,293,3.89,D
8.07056,80.62283,333.83,0.49,0.4,2025-09-03,0746,N,nominal,2.0NRT,297.84,4.2,D
8.28656,80.75995,339.37,0.48,0.4,2025-09-03,0746,N,low,2.0NRT,302.42,6.46,D
8.37961,81.26915,345.4,0.45,0.39,2025-09-03,0746,N,nominal,2.0NRT,301.34,8.81,D
8.39291,81.23769,345.45,0.45,0.39,2025-09-03,0746,N,nominal,2.0NRT,301.01,12.72,D
8.37119,81.05487,334.24,0.46,0.39,2025-09-03,0746,N,low,2.0NRT,301.61,7.06,D
8.39348,81.05552,334.69,0.46,0.39,2025-09-03,0746,N,low,2.0NRT,301.48,8.43,D
8.39434,81.05599,334.09,0.46,0.39,2025-09-03,0746,N,low,2.0NRT,299.32,4.17,D
8.39366,81.05184,331.82,0.46,0.39,2025-09-03,0746,N,low,2.0NRT,302.22,4.17,D
8.36291,80.23226,342.58,0.51,0.41,2025-09-03,0746,N,nominal,2.0NRT,299.43,9.13,D
8.47277,80.78073,332.56,0.47,0.4,2025-09-03,0746,N,nominal,2.0NRT,296.72,2.96,D
8.61203,80.53187,330.76,0.49,0.4,2025-09-03,0746,N,low,2.0NRT,297.78,20.46,D
8.90568,80.80159,338.24,0.47,0.39,2025-09-03,0746,N,nominal,2.0NRT,296.27,4.46,D
8.9343,80.84019,334.99,0.46,0.39,2025-09-03,0746,N,low,2.0NRT,297.77,3.14,D
8.93792,80.83959,333.97,0.46,0.39,2025-09-03,0746,N,low,2.0NRT,296.91,3.14,D
8.94222,80.84321,336.45,0.46,0.39,2025-09-03,0746,N,low,2.0NRT,298.02,4.37,D
8.97528,80.79453,330.43,0.47,0.39,2025-09-03,0746,N,low,2.0NRT,296.9,2.45,D
8.70748,78.10978,332.66,0.45,0.47,2025-09-03,0746,N,nominal,2.0NRT,298.3,2.5,D
9.13229,80.27653,335.07,0.49,0.4,2025-09-03,0746,N,low,2.0NRT,293.87,5.56,D
8.84604,77.95161,334.81,0.46,0.47,2025-09-03,0746,N,nominal,2.0NRT,299.81,2.34,D
9.37746,80.64925,330.23,0.47,0.4,2025-09-03,0746,N,low,2.0NRT,295.13,6.26,D
9.41152,80.379,333.46,0.48,0.4,2025-09-03,0746,N,low,2.0NRT,296.75,4.43,D
9.03901,77.78745,343.25,0.46,0.47,2025-09-03,0746,N,nominal,2.0NRT,296.01,5.7,D
9.0037,77.52296,341.98,0.48,0.48,2025-09-03,0746,N,nominal,2.0NRT,295.07,8.48,D
9.03912,77.78381,342.97,0.46,0.47,2025-09-03,0746,N,nominal,2.0NRT,294.34,6.38,D
9.00261,77.52425,350.72,0.48,0.48,2025-09-03,0746,N,nominal,2.0NRT,295.19,7.27,D
9.31191,79.29279,339.3,0.56,0.43,2025-09-03,0746,N,nominal,2.0NRT,300.47,5.77,D
9.28691,77.57578,339.13,0.48,0.48,2025-09-03,0746,N,nominal,2.0NRT,299.41,3.01,D
9.56121,78.45374,350.12,0.41,0.45,2025-09-03,0746,N,nominal,2.0NRT,295.56,5.72,D
9.74247,78.01687,330.19,0.44,0.46,2025-09-03,0746,N,nominal,2.0NRT,283,1.63,D
35.96989,100.35271,337.02,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,303.14,2,D
35.96912,100.34824,335.42,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,302.88,2,D
36.04691,100.43452,336.45,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,301.14,3.89,D
36.04615,100.43008,355.27,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,300.94,3.89,D
36.0454,100.42563,345.56,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,299.65,2.77,D
36.05129,100.4347,335.58,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,301.27,14.95,D
36.06317,100.42235,333.74,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,300.83,2.3,D
36.30367,100.59401,328.59,0.4,0.37,2025-09-03,0612,N,nominal,2.0NRT,299.96,2.01,D
36.50403,101.64542,340.54,0.39,0.36,2025-09-03,0612,N,nominal,2.0NRT,293.58,4.08,D
36.73742,101.61671,329.6,0.39,0.36,2025-09-03,0612,N,nominal,2.0NRT,296.17,2.32,D
37.25235,99.92915,344.87,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,295.62,4.34,D
39.5843,99.74705,344.55,0.4,0.37,2025-09-03,0614,N,nominal,2.0NRT,310,3.24,D
39.58838,99.75068,339.49,0.4,0.37,2025-09-03,0614,N,low,2.0NRT,312.42,4.29,D
39.58762,99.74611,342.54,0.4,0.37,2025-09-03,0614,N,nominal,2.0NRT,311.3,3.98,D
39.8249,98.27537,333.47,0.43,0.38,2025-09-03,0614,N,low,2.0NRT,307.57,1.24,D
39.84286,98.27504,334.99,0.42,0.38,2025-09-03,0614,N,low,2.0NRT,309.39,1.59,D
23.7129,86.45055,329.7,0.42,0.45,2025-09-03,0750,N,nominal,2.0NRT,293.7,2.38,D
24.15773,82.56638,338.14,0.41,0.37,2025-09-03,0750,N,nominal,2.0NRT,292.43,3.42,D
32.98045,64.0927,343.44,0.53,0.67,2025-09-03,0754,N,nominal,2.0NRT,307.54,8.59,D
38.05186,67.26413,367,0.54,0.51,2025-09-03,0754,N,high,2.0NRT,353.88,160.83,D
36.47813,61.19595,334.48,0.61,0.71,2025-09-03,0754,N,low,2.0NRT,308.66,2.03,D
36.47622,61.19137,336.94,0.61,0.71,2025-09-03,0754,N,low,2.0NRT,310.8,4.26,D
38.93721,64.13982,343.36,0.37,0.58,2025-09-03,0756,N,nominal,2.0NRT,316.56,21.78,D
38.93611,64.1357,348.37,0.37,0.58,2025-09-03,0756,N,nominal,2.0NRT,316.36,64.93,D
38.94234,64.1376,367,0.37,0.58,2025-09-03,0756,N,high,2.0NRT,314.37,21.78,D
38.99405,64.07346,337.56,0.37,0.58,2025-09-03,0756,N,low,2.0NRT,312.33,1.81,D
38.9913,64.07484,341.69,0.37,0.58,2025-09-03,0756,N,nominal,2.0NRT,313.57,3.58,D
21.30371,57.79946,346.41,0.41,0.37,2025-09-03,0930,N,nominal,2.0NRT,315.59,1.25,D
21.37564,56.71573,342.96,0.39,0.36,2025-09-03,0932,N,low,2.0NRT,314.25,1.53,D
21.6652,56.40998,347.15,0.39,0.36,2025-09-03,0932,N,nominal,2.0NRT,315.86,1.31,D
21.8339,56.68145,344.55,0.39,0.36,2025-09-03,0932,N,nominal,2.0NRT,313.78,1.51,D
21.93562,57.07433,343.68,0.4,0.37,2025-09-03,0932,N,low,2.0NRT,315.33,3,D
22.44064,56.70022,345.18,0.39,0.36,2025-09-03,0932,N,low,2.0NRT,317.32,1.31,D
22.87212,55.61471,351.62,0.38,0.36,2025-09-03,0932,N,low,2.0NRT,323.53,2.81,D
24.50386,56.60873,348.23,0.4,0.37,2025-09-03,0932,N,nominal,2.0NRT,307.61,18.97,D
25.97415,56.06987,338.51,0.4,0.37,2025-09-03,0932,N,low,2.0NRT,310.29,9.22,D
27.16675,56.05256,343.54,0.4,0.37,2025-09-03,0932,N,nominal,2.0NRT,311.05,11.59,D
27.17071,56.05603,342.19,0.4,0.37,2025-09-03,0932,N,nominal,2.0NRT,310.56,10.92,D
36.4747,61.19485,348.47,0.59,0.53,2025-09-03,0934,N,nominal,2.0NRT,316.03,10.68,D
37.03331,62.41984,341.27,0.35,0.57,2025-09-03,0934,N,low,2.0NRT,315.43,9.29,D
37.03167,62.41946,343.09,0.35,0.57,2025-09-03,0934,N,low,2.0NRT,316,9.58,D
37.11887,62.36726,344.36,0.35,0.57,2025-09-03,0934,N,low,2.0NRT,318.43,10.82,D
37.11775,62.36356,344.05,0.35,0.57,2025-09-03,0934,N,low,2.0NRT,318.79,12.16,D
36.94505,54.89208,332.83,0.44,0.39,2025-09-03,0937,N,low,2.0NRT,306.76,3.04,D
38.05109,67.2757,345.98,0.66,0.73,2025-09-03,0937,N,nominal,2.0NRT,308.83,50.16,D
38.05075,67.25955,339.15,0.66,0.73,2025-09-03,0937,N,low,2.0NRT,310.96,28.37,D
38.05092,67.26782,352.84,0.66,0.73,2025-09-03,0937,N,low,2.0NRT,332.35,50.16,D
38.05083,67.26948,367,0.66,0.73,2025-09-03,0937,N,high,2.0NRT,327.42,43.18,D
38.0507,67.26121,353.94,0.66,0.73,2025-09-03,0937,N,nominal,2.0NRT,312.57,43.18,D
37.56034,58.14101,351.31,0.42,0.45,2025-09-03,0937,N,nominal,2.0NRT,313.64,6.27,D
38.45335,65.80808,337.02,0.55,0.68,2025-09-03,0937,N,low,2.0NRT,309.65,1.58,D
38.76693,64.00457,334.91,0.44,0.63,2025-09-03,0937,N,nominal,2.0NRT,306.89,3.68,D
38.93571,64.13833,341.22,0.45,0.63,2025-09-03,0937,N,nominal,2.0NRT,315.66,18.06,D
38.94183,64.14336,367,0.45,0.63,2025-09-03,0937,N,high,2.0NRT,312.41,32.1,D
38.94161,64.13798,345.27,0.45,0.63,2025-09-03,0937,N,nominal,2.0NRT,317.54,18.06,D
38.91225,56.61966,341.62,0.55,0.43,2025-09-03,0937,N,low,2.0NRT,314.88,5.46,D
39.41101,62.84877,338.42,0.39,0.59,2025-09-03,0937,N,low,2.0NRT,311.15,1.75,D
25.3834,99.30354,296.88,0.54,0.51,2025-09-03,1836,N,nominal,2.0NRT,281.8,0.69,N
25.0664,101.5707,301.47,0.39,0.44,2025-09-03,1836,N,nominal,2.0NRT,288.63,0.53,N
